"Queens, New York, NY Zillow Home Value Index - All Homes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region Name,Region Type,Data Type,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19
College Point,neighborhood,All Homes,428000,427500,427400,427700,427700,429400,431800,432900,433200,435200,434900,430800,427300,425200,423400,421100,421300,421500,422900,425500,425800,422700,423800,431200,435800,435200,432800,432200,430600,428700,425900,424700,426200,428900,430600,431100,431700,433600,436700,437700,438500,439400,441700,445500,449900,452800,454100,456200,460900,467500,474100,480300,485200,488900,491200,492600,494500,497400,503100,509000,513400,516600,519400,521600,524700,529900,535700,539200,543800,551300,555500,555600,557800,562600,566800,572000,578100,581800,583900,589200,595100,598400,601000,603700,605800,610100,616400,621600,624700,627400,631800,637000,641000,646500,654500,661600,663900,663400,663100,669000,680500,694600,704500,709000,709500,710100,711400,715800,721700,724500,722400,721400,721500,718100,711600,705700,700700,696200,689700,683000
Corona,neighborhood,All Homes,324400,323000,324600,321300,319200,323400,328900,328900,330500,332400,331700,329600,331300,332000,330600,331500,332800,329800,325500,319300,312500,309500,311000,316000,320400,319800,315900,314600,315500,315900,316400,319200,322000,324500,324100,320100,315400,314400,315200,314900,310600,305300,302900,306900,315200,321400,322500,323300,325900,331500,339800,350200,359600,367600,371900,375400,379200,385000,391800,397200,401200,406500,411300,412600,413800,415700,417700,420000,420200,418000,417100,417900,418200,419200,419600,420400,424400,428400,430000,433000,440100,447300,455500,462200,464700,466200,470500,473500,471900,474000,483200,489400,487300,486400,489400,495400,503000,505800,504900,508700,518400,527400,533800,538200,537900,535800,536200,539800,542100,539800,535300,533000,534000,536100,536300,532000,526900,522600,520400,519100
Douglaston-Little Neck,neighborhood,All Homes,654400,652400,652200,652200,652500,648600,638100,629100,628200,630000,628600,624900,624300,621600,620900,625400,636200,646200,656300,666300,673100,673800,675600,683000,687100,685700,680700,677800,674700,672200,670700,671000,672600,675000,677900,683300,690300,696700,699000,696900,694400,695600,700400,706800,709800,708400,706400,707100,711100,719600,728800,735000,737000,739700,744200,747000,748300,753200,761200,766400,766900,766300,770300,777400,785900,795300,801600,806000,814600,825700,833300,836900,837900,839000,839800,839800,839900,838400,835400,831800,827500,825400,828500,830900,833100,839200,848500,856600,863000,870500,879400,888300,895100,904100,915300,926400,933500,936100,938000,941000,938400,933500,935900,942400,946100,947400,946000,943400,943000,942700,938900,936200,939100,941800,940500,935300,929300,923300,915000,906200
East Elmhurst,neighborhood,All Homes,443300,443400,444300,444800,445600,442000,434500,429800,431100,433000,431100,426100,424400,422000,418500,417700,420700,421300,422100,423700,423500,421200,423100,428300,429500,426700,423400,421400,418300,416700,415300,411600,406500,403500,401900,404100,408800,412800,416200,417800,419400,424500,431700,440200,450300,456800,459600,461800,464500,469400,475800,480200,484000,488000,491100,493300,497100,502900,508800,513300,517200,522200,527800,532700,535000,539100,543600,548200,553100,562000,568700,569400,566700,567100,569200,571700,574200,575100,577700,582400,583500,582300,585500,592000,599700,607900,614900,620500,624900,629900,635500,640300,643300,648000,654200,660300,664600,665600,666000,671700,681700,689600,696300,703000,708400,711700,713500,716200,720400,723900,726200,729800,733700,734000,732400,730800,729500,726900,723700,719700
Elmhurst,neighborhood,All Homes,374500,376500,379000,380400,380900,377900,371900,367600,368600,370900,370500,367500,365100,361700,358400,358400,362200,365000,365700,368100,368400,363900,360200,361300,361400,359500,355900,354300,355700,357700,356600,355000,355100,355200,355300,356500,357600,359800,363400,365300,364100,363300,366000,369700,372400,374400,377000,380900,385100,387800,389500,390800,391000,392500,396000,398800,400500,404900,410100,413500,417400,424300,431800,437300,440600,442800,445000,447600,450100,452800,453800,453400,452900,452200,452300,455800,459800,462000,465500,470100,473600,476000,482100,490200,498700,506500,514100,519400,520800,522200,526200,526700,523400,523700,525400,524400,524500,525300,527800,532100,538100,543900,548600,551900,558500,567500,571800,571100,568100,566900,562100,553800,551400,556100,557600,557800,558600,557900,558600,560600
Far Rockaway,neighborhood,All Homes,359700,361400,362100,356000,353800,355900,353700,349900,354200,356400,357100,359500,363100,363200,363700,366200,371200,374100,375400,375600,372800,369000,367100,364500,357900,349700,340000,333700,331400,332100,333900,338000,344000,349100,350300,349900,349700,351800,357000,361300,360200,358800,359500,359200,356200,353900,346900,335000,324300,316900,309700,307600,306200,300500,294700,293000,290500,289000,295500,309600,326900,342400,353300,357500,360100,364600,368600,369400,370800,373900,372200,366100,360200,358000,360200,366400,371800,374400,375100,377100,379000,379400,381000,383700,386800,392400,397600,396300,389900,387500,391300,396300,399900,404500,409100,413200,416000,413700,407900,408200,415300,423400,428900,432200,435600,440600,446200,451900,457500,462100,469600,477200,482600,484100,484900,485300,485600,485100,486800,489200
Floral park,neighborhood,All Homes,467000,469800,474000,475600,474300,475400,477400,477500,478900,481600,480800,477100,474200,470200,467300,468500,473800,476600,477400,477500,476100,473000,472500,475000,475300,472100,466200,460500,455100,450300,448000,449100,451700,453700,454500,456100,457600,457700,457800,460600,465800,471800,475800,479000,480600,481900,485200,490400,494800,499400,505300,511000,514500,515900,517600,519100,521200,525400,527500,523400,522200,529000,536500,540100,542900,546100,549000,552400,556900,561000,564400,568500,571900,574300,575200,573700,571500,570400,570100,570400,570600,570000,571600,574200,576500,580400,586500,591400,593300,595200,598800,602400,603800,605600,608200,612100,615100,614000,609800,609800,614000,619900,625600,631000,634300,635100,634900,638500,644000,647900,650200,651500,652100,651100,649000,646300,645800,648800,652500,652600
Flushing,neighborhood,All Homes,430200,430600,431900,432800,434200,428500,417600,408400,405900,405100,403600,399500,398000,396700,396400,398400,403800,411000,421300,432300,442300,449500,455400,463700,470500,472000,470000,469000,467500,466200,463700,462300,459800,455600,451400,448300,445300,446400,451600,456200,457900,460400,466500,473700,479100,481900,484400,487200,491000,497600,501900,502300,504000,507800,510900,512500,512700,517100,525200,532600,536200,536500,535100,534300,534600,538500,543000,544700,547000,551900,556000,558900,563600,570100,578000,587100,593700,598800,601400,603600,609500,617500,624600,632300,639400,642200,640800,639800,641500,644300,647400,651800,653900,655100,655100,655600,657700,660200,663000,669600,678500,686000,693800,702100,710600,715200,716200,718500,724000,729200,733700,737300,740900,741100,738800,736600,732100,725900,725100,725500
Forest Hills,neighborhood,All Homes,597300,600300,603000,605000,606600,603700,594200,585600,583800,585200,583700,578000,574000,571500,569300,566700,569900,576400,583000,586600,588700,589900,594300,601900,607000,607400,605300,602700,597800,592300,589900,592800,596800,596000,592900,593200,593100,591500,593300,597700,601900,607600,616400,625300,631200,634100,637600,642000,646100,652200,661200,671400,680500,688200,694500,698900,702400,707900,715400,720500,725000,730800,737800,745000,751200,755600,758600,761500,766600,775300,781700,784500,785800,785100,781000,777800,778600,781400,783200,787000,792300,795300,799400,807400,817500,830600,844500,852900,854200,853800,859500,865000,867200,872600,877700,879100,884100,889200,891000,895500,898600,898800,899300,903300,905900,906500,905600,907800,914900,922400,920900,916200,917700,928600,937200,936400,929900,930600,936000,938900
Fresh Meadows,neighborhood,All Homes,591100,595200,599300,603300,604500,608100,613300,616000,617600,622800,623900,618800,616500,614600,612500,611700,614400,613800,614000,616800,618200,614700,613800,617600,617600,613000,608000,604600,601800,598700,591100,581900,576700,574200,570500,568700,569600,572300,575700,579000,581400,584500,590900,599100,605200,610000,617800,627100,634100,640300,646800,652800,659100,665100,668900,672600,679000,686700,695200,701500,705600,711000,718500,724400,729500,734500,739200,745400,752700,758900,760500,760000,762000,765600,767500,768700,771000,774100,779400,783300,785000,785700,790500,795800,799700,804700,810900,814000,813900,816100,822000,829200,833100,839900,847600,855200,863100,868500,869100,874800,883000,890100,895400,900800,906600,909700,909100,911800,917900,921100,921000,921100,924600,928500,928600,924200,918400,914700,912400,908100
